,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.885,0.0,0.0,0.0,0.5,0.84104366719788,0.9265999999999999,1.0
1,MultirefBlock,20,0.869,0.311,0.12,0.174,0.746,0.638359144269316,0.9317706153202177,0.9963858143212108
2,MultirefSVMBlock,20,0.785,0.204,0.3,0.243,0.693,2.222263834312855,0.9367982034007057,0.9475457170356112
3,BaseClassifier,40,0.885,0.0,0.0,0.0,0.5,0.84104366719788,0.9265999999999999,1.0
4,MultirefBlock,40,0.813,0.255,0.328,0.287,0.748,0.8412218383088259,0.9448092557848655,0.9720919324577861
5,MultirefSVMBlock,40,0.843,0.253,0.192,0.218,0.663,0.6755746473515671,0.9383121623594685,0.9911904224079512
6,BaseClassifier,60,0.885,0.0,0.0,0.0,0.5,0.84104366719788,0.9265999999999999,1.0
7,MultirefBlock,60,0.807,0.271,0.401,0.323,0.761,0.9722992020612082,0.9514056224899599,0.9662650602409638
8,MultirefSVMBlock,60,0.864,0.387,0.321,0.351,0.816,0.5119138470269888,0.948570586501621,0.987576236729162
9,BaseClassifier,80,0.885,0.0,0.0,0.0,0.5,0.84104366719788,0.9265999999999999,1.0
10,MultirefBlock,80,0.793,0.258,0.428,0.322,0.754,1.03931217290355,0.9558738783238658,0.9646826376883181
11,MultirefSVMBlock,80,0.848,0.262,0.182,0.214,0.763,0.6905794227341744,0.9414874357303208,0.9936751750621188
12,BaseClassifier,100,0.885,0.0,0.0,0.0,0.5,0.84104366719788,0.9265999999999999,1.0
13,MultirefBlock,100,0.848,0.295,0.234,0.261,0.767,0.5894474935886933,0.9409004252822994,0.9898351027784053
14,MultirefSVMBlock,100,0.885,0.496,0.106,0.175,0.774,0.7195663464868289,0.9340441528261909,1.0
