,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.412,0.009,0.188,0.017,0.697,10.581527969855983,1.0093414292386735,0.8860345632881831
1,MultirefBlock,20,0.774,0.098,0.91,0.176,0.899,3.7132395906905913,0.997163874855978,0.9457591066205796
2,MultirefSVMBlock,20,0.78,0.101,0.925,0.183,0.926,2.542895056660882,0.9972720872932066,0.9672650475184794
3,BaseClassifier,40,0.1,0.026,0.917,0.051,0.503,58.21861045293434,0.5312767780634104,0.5012853470437018
4,MultirefBlock,40,0.797,0.107,0.902,0.191,0.92,3.313352397187117,0.9850438370293966,0.944559051057246
5,MultirefSVMBlock,40,0.803,0.115,0.955,0.205,0.946,2.0781537379482984,1.0006849901532666,0.9773953249422039
6,BaseClassifier,60,0.044,0.026,0.977,0.052,0.502,102.437705426695,0.4384057971014493,0.5217391304347826
7,MultirefBlock,60,0.817,0.117,0.902,0.208,0.924,2.9581228894321896,0.9868443103737221,0.9499748617395676
8,MultirefSVMBlock,60,0.819,0.12,0.917,0.212,0.943,1.8915261773533132,0.9870314591700133,0.9769076305220884
9,BaseClassifier,80,0.043,0.026,0.977,0.052,0.503,108.40855190460746,0.34865900383141757,0.45977011494252873
10,MultirefBlock,80,0.816,0.117,0.902,0.207,0.929,2.77870627982324,0.9841469552088575,0.9524408656265727
11,MultirefSVMBlock,80,0.815,0.119,0.932,0.211,0.942,1.9080853349613562,0.9852619167929931,0.9759979787771602
12,BaseClassifier,100,0.105,0.026,0.895,0.051,0.511,55.09670981728647,0.6137440758293838,0.5616113744075829
13,MultirefBlock,100,0.813,0.117,0.917,0.207,0.93,2.8929291316274544,0.9843196762771875,0.9489124936772888
14,MultirefSVMBlock,100,0.81,0.117,0.94,0.209,0.94,1.8522214491364082,0.9933926302414231,0.9773824650571792
