,methods,pos_neg_ref,accuracy,precision,recall,f1 scores,AUC,FID,densities,coverages
0,BaseClassifier,20,0.936,0.0,0.0,0.0,0.5,0.5848424662321463,0.9907333333333332,1.0
1,MultirefBlock,20,0.616,0.115,0.748,0.2,0.737,1.8750846861815944,0.9756766015758821,0.9701952723535457
2,MultirefSVMBlock,20,0.589,0.102,0.692,0.178,0.69,2.1038721491310355,0.9849881796690307,0.9638297872340426
3,BaseClassifier,40,0.936,0.0,0.0,0.0,0.5,0.5848424662321463,0.9907333333333332,1.0
4,MultirefBlock,40,0.66,0.132,0.773,0.226,0.792,1.5864792390190132,0.9906133333333332,0.9728
5,MultirefSVMBlock,40,0.584,0.094,0.632,0.163,0.658,2.105680826042885,0.9688418577307465,0.9647266313932981
6,BaseClassifier,60,0.936,0.0,0.0,0.0,0.5,0.5848424662321463,0.9907333333333332,1.0
7,MultirefBlock,60,0.696,0.153,0.822,0.258,0.83,1.3184307064165068,0.9888040712468192,0.9783206106870229
8,MultirefSVMBlock,60,0.506,0.072,0.561,0.127,0.537,3.082081684787539,0.9673360107095046,0.9526104417670683
9,BaseClassifier,80,0.936,0.0,0.0,0.0,0.5,0.5848424662321463,0.9907333333333332,1.0
10,MultirefBlock,80,0.739,0.175,0.829,0.289,0.851,1.0741773590702053,0.9871758062972533,0.9839219064025265
11,MultirefSVMBlock,80,0.561,0.079,0.551,0.139,0.585,2.635498423773555,0.9750992421508481,0.9678816311800794
12,BaseClassifier,100,0.936,0.0,0.0,0.0,0.5,0.5848424662321463,0.9907333333333332,1.0
13,MultirefBlock,100,0.767,0.193,0.829,0.313,0.875,0.9603270179704282,0.9965028529357629,0.988404196576477
14,MultirefSVMBlock,100,0.632,0.102,0.604,0.174,0.655,1.8037235348867569,0.9824334518805906,0.9828645328160363
